User ID,CATEGORIA APP
EA_marco.natali,Regular
EA_riccardo_potenza,Vegetarian/Vegan
EA_johanna.t,Vegetarian/Vegan
EA_ricardo.bento,Regular
EA_joanna.lada,Vegetarian/Vegan
EA_pit_utrecht,Vegetarian/Vegan
EA_toniatsif,Regular
EA_macarena,Regular
EA_heleen_bucher,Lactose free
EA_elia.maracani,Regular
EA_alekzandra6,Vegetarian/Vegan
EA_Daniela Mård,Vegetarian/Vegan
EA_marciszek,Regular
EA_samantabaumane,Regular
EA_mebilot,Regular
EA_gszarvas27,Regular
EA_isihuck,Regular
EA_mario.cosic,Regular
EA_fabuo,Regular
EA_anastasia99,Regular
EA_matte_ingra,Regular
EA_the.barca,Regular
EA_julianlx,Regular
EA_dominixas,Regular
EA_ema.sibila,Regular
EA_milano95,No pork
EA_nensi.mkrtchian,Regular
EA_sara_tagliabracci,Regular
EA_isabella.kontschinsky,Regular
EA_patrick_p,Vegetarian/Vegan
EA_gmtavares,Vegetarian/Vegan
EA_lena_n,Regular
EA_sanadh79,Regular
EA_dimitris.kritsotakis,Regular
EA_gokayba,Regular
EA_christina.michael,Regular
EA_laurasophia.franke,Regular
EA_carlos_robledo,Regular
EA_Theodoros Markou,Regular
EA_nate_the_great,Regular
EA_hazalsude,Regular
EA_alessandro_stocco,Vegetarian/Vegan
EA_annabell,Regular
EA_emaromano2900,Regular
EA_siculella,Regular
EA_justin_racu,Regular
EA_delgiu,Regular
EA_giemme93,Regular
EA_jhony_hajj,Regular
EA_andreia_ivan,Regular
EA_diana.mew12,Vegetarian/Vegan
EA_giuliana.paes,No fish
EA_nelikalinova,Regular
EA_celineguerin,Regular
EA_tiagomnunes351,Regular
EA_uznemira,Regular
EA_skalskapati,Regular
EA_oriana2911,Regular
EA_trassa,Regular
EA_gabrielswim,Lactose free
EA_sabri_ben_rommane93,Vegetarian/Vegan
CO_2964d3cb-f0d0-4537-a7b7-1b8f391b536a,Regular
EA_mariauritu,Regular
EA_lina.moho,Vegetarian/Vegan
EA_kajakaczkiello,Vegetarian/Vegan
EA_Darwyn.,Regular
EA_anaritadias9612@gmail.com,Regular
EA_rvinha14,Regular
EA_penible,Regular
EA_elherm,No fish
EA_enalesandric,Regular
EA_tellokinard,Regular
EA_lidgoval,Regular
EA_yanadobretsova,Regular
EA_myrdipa,Regular
EA_achi_mo,Regular
EA_kallirroischina,Regular
EA_malwina,Vegetarian/Vegan
EA_ozgekurtulus,Regular
